BGC0000672	AP008208	21985968
BGC0000673	BN001307	22506079;27098256
BGC0000674	DS570637	21276937
BGC0000675	DS570654	21276937
BGC0000676	AB114137	14745177
BGC0000677	AB448947	19635410;1474002;1335449;25689152
BGC0000678	BA000030	20536237
BGC0000679	KK037233	18722414
BGC0000680	BN001305;BN001308	17369821;20828130
BGC0000682	CH476609	23116177
BGC0000683	BA000030	20536237
BGC0000684	BN001301	18978088
BGC0000685	ACIW01000469	19097780
BGC0000686	CM000172	22492455;23592999
BGC0000687	AB254158	18391465
BGC0000688	AB254160	18391465
BGC0000689	AJ575934	14757238
BGC0000690	AJ006985	8628239
BGC0000691	Y18523	10196166;11443082;11937512;12681481;15808935
BGC0000692	AJ875019	
BGC0000693	AB097196	11132962;16156513
BGC0000694	AJ781030	
BGC0000695	AJ628421	
BGC0000696	AJ628149	
BGC0000697	AY524043	
BGC0000698	DQ314862	16873023
